,station_uid,line_uid,line_name,station_name,stationid,poiid,pointx,pointy,poitype,trans,color,ccode,line_start_city,line_terminal_city,line_tag,expect_open_time,line_open_status,is_updown,nearby_lines,trans_lines_detail,trans_lines_count,station_index,stations_count,platform_count_final,line_name_clean,trans_count_final,station_score,station_score_normalized,trans_lines_normalized,platform_normalized,station_score_normalized_final,trans_lines_normalized_final,platform_normalized_final,final_score
92,3222369672744469254,954505419264527434,地铁5号线,大屯路东,504700627866251713,10003394936153892601,116.417336,40.003934,2,1,#D453A6,110000,110000,110000,1:1,,1,1,,['地铁15号线'],1,7,23,2.0,地铁5号线,2,18.0,0.5454545454545456,0.3333333333333333,0.3333333333333333,1.1010101010101012,0.3333333333333333,0.3333333333333333,0.4868686868686869
94,10244981495435073768,954505419264527434,地铁5号线,惠新西街北口,14355211058130940852,10003521040490583681,116.417062,39.987902,2,0,#D453A6,110000,110000,110000,1:1,,1,1,,,0,8,23,1.0,地铁5号线,1,19.0,0.6363636363636365,0.0,0.0,0.6363636363636365,0.0,0.0,0.1272727272727273
95,10054020790419108751,954505419264527434,地铁5号线,惠新西街南口,11100113647289581131,10003275008965353891,116.417549,39.977124,2,1,#D453A6,110000,110000,110000,1:1,,1,1,,['地铁10号线内环'],1,9,23,1.0,地铁5号线,2,20.0,0.7272727272727275,0.3333333333333333,0.0,1.181818181818182,0.3333333333333333,0.0,0.4363636363636364
97,4447756571301913152,954505419264527434,地铁5号线,和平西桥,2199028257907,10003866681566750441,116.417982,39.968282,2,0,#D453A6,110000,110000,110000,1:1,,1,1,,['地铁12号线'],1,10,23,1.0,地铁5号线,1,21.0,0.8181818181818183,0.0,0.0,0.8181818181818183,0.0,0.0,0.1636363636363637
98,9815568196056964374,954505419264527434,地铁5号线,和平里北街,2199027905386,10003188659341277471,116.41852,39.958734,2,0,#D453A6,110000,110000,110000,1:1,,1,1,,,0,11,23,1.0,地铁5号线,1,22.0,0.9090909090909092,0.0,0.0,0.9090909090909092,0.0,0.0,0.18181818181818185
99,4591297819250982633,954505419264527434,地铁5号线,北新桥,2561609475052671431,10003622400999414681,116.416902,39.940799,2,1,#D453A6,110000,110000,110000,1:1,,1,1,,['首都机场线'],1,13,23,2.0,地铁5号线,2,22.0,0.9090909090909092,0.3333333333333333,0.3333333333333333,0.9090909090909092,0.3333333333333333,0.3333333333333333,0.4484848484848485
101,7244318101504198868,954505419264527434,地铁5号线,张自忠路,2199027905388,10003205345357739731,116.417165,39.93367,2,0,#D453A6,110000,110000,110000,1:1,,1,1,,,0,14,23,1.0,地铁5号线,1,21.0,0.8181818181818183,0.0,0.0,0.8181818181818183,0.0,0.0,0.1636363636363637
102,14933275114611095328,954505419264527434,地铁5号线,东四,2199028257909,10003497410702796431,116.417488,39.924367,2,1,#D453A6,110000,110000,110000,1:1,,1,1,,['地铁6号线'],1,15,23,2.0,地铁5号线,2,20.0,0.7272727272727275,0.3333333333333333,0.3333333333333333,1.6684491978609628,0.3333333333333333,0.3333333333333333,0.6003565062388592
104,5796325731861461323,954505419264527434,地铁5号线,灯市口,16594247945962383724,10003367007931803831,116.417785,39.917106,2,0,#D453A6,110000,110000,110000,1:1,,1,1,,,0,16,23,1.0,地铁5号线,1,19.0,0.6363636363636365,0.0,0.0,0.6363636363636365,0.0,0.0,0.1272727272727273
105,3912496422929100229,954505419264527434,地铁5号线,东单,2199027905389,10003397955595784461,116.418504,39.908366,2,1,#D453A6,110000,110000,110000,1:1,,1,1,,['地铁1号线八通线'],1,17,23,1.0,地铁5号线,1,18.0,0.5454545454545456,0.0,0.0,0.5454545454545456,0.0,0.0,0.10909090909090913
106,16183984966940123618,954505419264527434,地铁5号线,磁器口,2199027905390,10003931172864014341,116.418874,39.893094,2,1,#D453A6,110000,110000,110000,1:1,,1,1,,['地铁7号线'],1,19,23,2.0,地铁5号线,2,16.0,0.36363636363636376,0.3333333333333333,0.3333333333333333,0.9350649350649352,0.3333333333333333,0.3333333333333333,0.4536796536796537
108,9491576331207635669,954505419264527434,地铁5号线,天坛东门,8619290910982332878,10003287981010664651,116.420843,39.882562,2,0,#D453A6,110000,110000,110000,1:1,,1,1,,,0,20,23,1.0,地铁5号线,1,15.0,0.27272727272727293,0.0,0.0,0.27272727272727293,0.0,0.0,0.05454545454545459
